"","learn","x","agelfted","sex","datyear"
"1916",8.10165348106166,41,17,"female",84
"1919",9.13510378842053,63,17,"male",84
"1928",7.6889133368648,48,15,"female",84
"1935",6.49205800770727,35,14,"male",84
"1939",8.64963099312407,53,18,"female",84
"1940",10.477269929526,46,24,"male",84
"1941",7.86286662895818,49,22,"female",84
"1943",8.12563098847706,65,15,"male",84
"1945",9.2591152830531,65,18,"male",84
"1947",9.21232638682374,65,15,"male",84
"1951",8.96187901267768,50,15,"male",84
"1958",8.98168163997386,61,15,"male",84
"1959",6.46894017226092,63,15,"female",84
"1960",8.19973896063079,39,14,"male",84
"1961",7.67089483136212,44,15,"female",84
"1964",8.63012890750086,62,15,"male",84
"1965",8.55350967635439,62,20,"female",84
"1967",8.72175883078916,37,15,"male",84
"1968",8.01358147497301,42,17,"female",84
"1971",9.13695218278385,65,18,"male",84
"1972",8.96314486279388,57,16,"male",84
"1977",8.76934548473601,37,14,"male",84
"1981",8.59216703441032,49,15,"male",84
"1982",7.81449655569641,49,15,"female",84
"1987",7.19539737260743,54,19,"male",84
"1989",9.02159341173205,39,16,"male",84
"1991",8.72565020278741,37,16,"female",84
"1992",9.39262188890605,57,16,"male",84
"1996",9.61701275884249,47,17,"male",84
"1997",8.4897397913764,44,16,"female",84
"2007",7.20934025660291,37,14,"female",84
"2008",8.61609687134671,54,15,"male",84
"2010",9.28478341633516,47,22,"male",84
"2013",8.63642587027644,35,14,"male",84
"2017",8.73765157840127,58,15,"male",84
"2019",8.87297493383486,45,16,"male",84
"2020",8.09564745388165,47,18,"female",84
